Airline ID,Operator,ICAO,Country,Active,Date,Location,Type,Aboard,Fatalities
1406,Balkan Bulgarian Airlines,,,Y,1984-01-10,"Sofia, Bulgaria",Tupolev TU-134A,50.0,50.0
1406,Balkan Bulgarian Airlines,,,Y,1988-08-02,"Sofia, Bulgaria",Yakovlev YAK-40,37.0,28.0
1411,British International Helicopters,BIH,United Kingdom,Y,1986-11-06,"Off Sumburgh Head, Shetlands, Scotland",Boeing-Vertol Chinook,47.0,45.0
1419,Bankair,BKA,United States,N,2000-04-05,"Marianna, Florida",Learjet 35A,3.0,3.0
1422,Bangkok Airways,BKP,Thailand,Y,1990-11-21,"Koh Samui, Thailand",de Havilland Canada DHC-8-103,38.0,38.0
1433,Bali International Air Service,BLN,Indonesia,N,1976-11-04,"Banjarmasin, Indonesia",Fokker F-27 Friendship 100,38.0,29.0
1433,Bali International Air Service,BLN,Indonesia,N,1983-07-26,"Near Ambone, Indonesia",Cessna 404 Titan,11.0,7.0
1433,Bali International Air Service,BLN,Indonesia,N,1983-08-05,"Off Bula, Indonesia",Britten-Norman BN-2A-21 Islander,2.0,2.0
1433,Bali International Air Service,BLN,Indonesia,N,1991-10-25,"Tumbang Miri, Indonesia",Britten-Norman BN2A-III-2 Trislander,17.0,17.0
1436,Bellview Airlines,BLV,Nigeria,Y,2005-10-22,"Lisa, Nigeria",Boeing B-737-2L9,117.0,117.0
1509,Bellview Airlines,BVU,,N,2005-10-22,"Lisa, Nigeria",Boeing B-737-2L9,117.0,117.0
1448,Bond Offshore Helicopters,BND,United Kingdom,N,2009-04-01,"Off Crimond, Scotland",Eurocopter AS 332L2 Super Puma 2,16.0,16.0
1462,Bouraq Indonesia Airlines,BOU,Indonesia,N,1980-08-26,"Near Jakarta, Indonesia",Vickers Viscount 812,37.0,37.0
1462,Bouraq Indonesia Airlines,BOU,Indonesia,N,1993-01-09,"Surabaya, Indonesia",Hawker Siddeley HS-748-234,44.0,17.0
1511,Blue Wing Airlines,BWI,Suriname,N,2008-04-03,"Lawa, Suriname",Antonov An-28,19.0,19.0
1523,Brit Air,BZH,France,Y,2003-06-22,"Near Brest, France",Canadair CRJ-100ER,24.0,1.0
1611,Cameroon Airlines,UYC,Cameroon,N,1981-10-31,"Bafoussam, Cameroon",de Havilland Canada DHC-6 Twin Otter 300,24.0,1.0
1611,Cameroon Airlines,UYC,Cameroon,N,1984-08-30,"Douala, Cameroon",Boeing B-737-2H7C,116.0,2.0
1611,Cameroon Airlines,UYC,Cameroon,N,1989-06-28,"Yaounde,  Cameroon",Hawker Siddeley HS-748-435 Srs. 2,47.0,3.0
1611,Cameroon Airlines,UYC,Cameroon,N,1995-12-03,"Near Douala, Cameroon",Boeing B-737-2K9,78.0,72.0
1614,Canada Jet Charters,PIL,Canada,N,1995-01-11,"Masset, British Columbia, Canada",Learjet 35,5.0,5.0
1634,Capital Airlines,CPD,Kenya,N,1970-11-27,"Anchorage, Alaska",McDonnell Douglas DC-8-63CF,229.0,47.0
1656,Cargolux,CLX,Luxembourg,N,1970-12-02,"Dhaka, Bangladesh",Canadair CL-44J,4.0,4.0
1676,Castle Aviation,CSJ,United States,N,2007-12-05,"Columbus, Ohio",Cessna 208B Caravan I Super Cargomaster,2.0,2.0
1680,Cathay Pacific,CPA,Hong Kong SAR of China,Y,1972-06-15,"Near Pleiku, Vietnam",Convair CV-880-22M-21,81.0,81.0
1696,Central Airlines,CTL,United States,N,1983-03-30,"Newark, New Jersey",Learjet 25,2.0,2.0
1721,Chalk's Ocean Airways,CHK,United States,N,2005-12-19,"Off Miami Beach, Florida",Grumman G73T Turbo Mallard,20.0,20.0
1756,China Airlines,CAL,Taiwan,Y,1970-08-12,"Taipei, Taiwan",NAMC YS-11A-219,31.0,14.0
1756,China Airlines,CAL,Taiwan,Y,1971-11-21,"Near Penghu Island, Taiwan",Sud Aviation SE-210 Caravelle III,25.0,25.0
1756,China Airlines,CAL,Taiwan,Y,1979-09-11,"Off Taipei, Taiwan",Boeing 707-324C,6.0,6.0
1756,China Airlines,CAL,Taiwan,Y,1980-02-27,"Manila, Philippines",Boeing B-707-309C,135.0,2.0
1756,China Airlines,CAL,Taiwan,Y,1985-02-19,"300 nm NW of San Francisco, California",Boeing B-747-SP-09,274.0,0.0
1756,China Airlines,CAL,Taiwan,Y,1986-02-16,"Off Makung, Taiwan",Boeing B-737-281,13.0,13.0
1756,China Airlines,CAL,Taiwan,Y,1989-10-26,"Hualein, China",Boeing B-737-209,54.0,54.0
1756,China Airlines,CAL,Taiwan,Y,1991-12-29,"Wanli, Taiwan",Boeing B-747-2R7F,5.0,5.0
1756,China Airlines,CAL,Taiwan,Y,1994-04-26,"Near Komaki, Aichi, Japan",Airbus A300B4-622R,271.0,264.0
1756,China Airlines,CAL,Taiwan,Y,1998-02-16,"Taipei, Taiwan",Airbus A300-622R,196.0,196.0
1756,China Airlines,CAL,Taiwan,Y,1999-08-22,"Hong Kong, China",McDonnell Douglas MD-11,315.0,3.0
1756,China Airlines,CAL,Taiwan,Y,2002-05-25,"Off Penghu Island, Taiwan",Boeing B-747-209B,225.0,225.0
1758,China Eastern Airlines,CES,China,Y,1989-08-15,,Antonov AN-24RV,40.0,34.0
1758,China Eastern Airlines,CES,China,Y,1993-04-06,"950 nm S of  Shemya, Alaska",McDonnell Douglas MD-11,264.0,2.0
1758,China Eastern Airlines,CES,China,Y,1993-10-26,"Fuzhou, China",McDonnell Douglas MD-82,80.0,2.0
1758,China Eastern Airlines,CES,China,Y,2004-11-21,"Baotou, Inner Mongolia, China",Bambardier CRJ200,53.0,53.0
1761,China General Aviation Corporation,CTH,China,N,1992-07-31,"Nanjing, Jiangsu, China",Yakovlev YAK-42D,126.0,108.0
1763,China Northern Airlines,CBF,China,N,1993-11-13,"Urumqi, China",McDonnell Douglas MD-82,102.0,12.0
1763,China Northern Airlines,CBF,China,N,2002-05-07,"Off Dalian, China",McDonnell Douglas MD-82,112.0,112.0
1764,China Northwest Airlines,CNW,China,N,1993-07-23,"Yinchuan, China",British Aerospace 146-300,113.0,55.0
1764,China Northwest Airlines,CNW,China,N,1994-06-06,"Near Xi'an, China",Tupolev TU-154M,160.0,160.0
1767,China Southern Airlines,CSN,China,Y,1992-11-24,"Near Liutang, Guangxi, China",Boeing B-737-3Y0,141.0,141.0
1767,China Southern Airlines,CSN,China,Y,1997-05-08,"Huangtian, China",Boeing B-737-31B,74.0,35.0
1768,China Southwest Airlines,CXN,China,N,1988-01-18,"Near Chungking, Sichuan, China",Ilyushin IL-18D,108.0,108.0
